epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3397.73,0.78326,0.53214,0.83293,0.71784,0.63455,0.65034,0.42477,1.01478,0.96133,0.89449,0.000999653,0.000999653,0.000999653
43,3478.01,0.82078,0.55424,0.81944,0.70657,0.64014,0.68255,0.42791,1.10677,0.97668,0.90919,0.000996937,0.000996937,0.000996937
44,3558.55,0.84399,0.58203,0.8341,0.63585,0.58847,0.60335,0.40932,0.99082,1.07979,0.88377,0.000994222,0.000994222,0.000994222
45,3638.82,0.78553,0.52084,0.82602,0.92771,0.46918,0.60564,0.39449,1.10811,1.09414,0.90185,0.000991506,0.000991506,0.000991506
46,3719.45,0.79902,0.57804,0.82546,0.87016,0.61459,0.66556,0.49298,0.86718,1.12748,0.87565,0.00098879,0.00098879,0.00098879
47,3799.91,0.82206,0.57605,0.82295,0.81534,0.64324,0.67631,0.43541,1.1133,1.07523,0.92317,0.000986074,0.000986074,0.000986074
48,3880.57,0.85919,0.60362,0.83241,0.83093,0.60195,0.66168,0.46467,0.86412,0.93897,0.88161,0.000983358,0.000983358,0.000983358
49,3961.22,0.78029,0.54953,0.8349,0.68753,0.64913,0.67505,0.43427,1.07955,1.0508,0.91449,0.000980643,0.000980643,0.000980643
50,4041.7,0.73464,0.49921,0.82036,0.71027,0.66048,0.67902,0.49205,0.8925,0.98169,0.87621,0.000977927,0.000977927,0.000977927
51,4122.16,0.76353,0.50478,0.81131,0.85964,0.55895,0.65697,0.45306,0.93702,1.12203,0.88457,0.000975211,0.000975211,0.000975211
52,4202.78,0.72602,0.48881,0.82095,0.73298,0.66438,0.66219,0.47052,0.90043,0.91234,0.88953,0.000972495,0.000972495,0.000972495
53,4283.51,0.7614,0.51954,0.82598,0.93188,0.63096,0.70478,0.52272,0.869,0.9163,0.87237,0.00096978,0.00096978,0.00096978
54,4364.15,0.71292,0.49012,0.80904,0.80911,0.65193,0.71065,0.52186,0.86536,0.9601,0.87083,0.000967064,0.000967064,0.000967064
55,4444.74,0.68473,0.46752,0.81556,0.72747,0.68685,0.70353,0.50847,0.92068,0.99864,0.88145,0.000964348,0.000964348,0.000964348
56,4525.04,0.72455,0.47648,0.81605,0.83779,0.6408,0.70858,0.49964,0.89039,1.09441,0.88614,0.000961632,0.000961632,0.000961632
57,4605.31,0.70345,0.46859,0.82074,0.81025,0.65014,0.72637,0.49333,0.9395,1.08861,0.89743,0.000958916,0.000958916,0.000958916
58,4685.94,0.76072,0.48806,0.83202,0.9062,0.60377,0.72769,0.48058,0.9792,1.05731,0.91586,0.000956201,0.000956201,0.000956201
59,4766.38,0.70842,0.46793,0.81733,0.83859,0.65126,0.71198,0.4937,0.93447,1.04905,0.89155,0.000953485,0.000953485,0.000953485
60,4846.96,0.75999,0.49524,0.82625,0.77208,0.66321,0.66079,0.47759,0.9215,1.10188,0.88334,0.000950769,0.000950769,0.000950769
61,4927.57,0.75852,0.5154,0.82505,0.69411,0.67085,0.62941,0.45095,0.96158,1.09779,0.89167,0.000948053,0.000948053,0.000948053
62,5008.16,0.7318,0.4888,0.82327,0.67776,0.61747,0.61848,0.43665,1.00572,1.1078,0.90184,0.000945338,0.000945338,0.000945338
